GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US24510260900,24510260900,"Census Tract 2609, Baltimore city, Maryland",3110,269,2919,234,2521,267,238,148,0,12,65,40,0,12,0,12,95,62,0,12,95,62,191,151,165,149,0,12,0,12,0,12,0,12,10,17,16,24,0,12,16,24
1400000US24510261000,24510261000,"Census Tract 2610, Baltimore city, Maryland",3077,651,2345,707,1426,433,855,540,0,12,0,12,0,12,0,12,64,92,0,12,64,92,732,422,652,440,0,12,0,12,0,12,0,12,80,102,0,12,0,12,0,12
1400000US24510261100,24510261100,"Census Tract 2611, Baltimore city, Maryland",1813,139,1769,134,1573,130,122,94,0,12,49,35,0,12,0,12,25,26,0,12,25,26,44,31,39,31,5,8,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US24510270101,24510270101,"Census Tract 2701.01, Baltimore city, Maryland",1568,224,1501,223,633,68,758,188,0,12,4,7,0,12,64,82,42,42,0,12,42,42,67,49,26,21,33,46,0,12,0,12,0,12,8,10,0,12,0,12,0,12
1400000US24510270102,24510270102,"Census Tract 2701.02, Baltimore city, Maryland",3953,413,3903,411,1106,290,2481,488,15,23,36,49,0,12,159,250,106,90,0,12,106,90,50,62,50,62,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US24510270200,24510270200,"Census Tract 2702, Baltimore city, Maryland",1772,218,1710,218,845,124,736,123,16,30,7,8,0,12,14,22,92,81,6,9,86,80,62,42,45,41,0,12,6,10,0,12,0,12,8,8,3,6,3,6,0,12
1400000US24510270301,24510270301,"Census Tract 2703.01, Baltimore city, Maryland",3089,302,2922,325,1064,186,1768,292,0,12,24,32,4,14,0,12,62,56,0,12,62,56,167,149,69,132,58,81,0,12,0,12,0,12,40,47,0,12,0,12,0,12
1400000US24510270302,24510270302,"Census Tract 2703.02, Baltimore city, Maryland",1837,273,1709,267,827,200,848,293,0,12,5,8,0,12,0,12,29,27,0,12,29,27,128,121,85,114,0,12,0,12,0,12,0,12,34,43,9,14,9,14,0,12
1400000US24510270401,24510270401,"Census Tract 2704.01, Baltimore city, Maryland",6211,675,6073,692,1480,380,4168,868,0,17,92,166,0,17,37,63,296,232,0,17,296,232,138,121,40,66,98,103,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US24510270402,24510270402,"Census Tract 2704.02, Baltimore city, Maryland",3396,301,3335,312,1214,224,1929,314,0,12,57,75,0,12,0,12,135,110,0,12,135,110,61,42,9,13,39,38,0,12,0,12,0,12,1,5,12,19,0,12,12,19
1400000US24510270501,24510270501,"Census Tract 2705.01, Baltimore city, Maryland",3994,287,3783,308,2028,217,1651,223,0,12,43,33,0,12,0,12,61,60,0,12,61,60,211,149,126,114,29,39,0,12,0,12,0,12,56,71,0,12,0,12,0,12
1400000US24510270502,24510270502,"Census Tract 2705.02, Baltimore city, Maryland",4259,373,4231,364,1558,225,2455,380,11,18,66,88,12,22,0,12,129,96,0,12,129,96,28,44,2,5,26,43,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US24510270600,24510270600,"Census Tract 2706, Baltimore city, Maryland",4882,554,4843,554,1838,219,2890,567,0,12,0,12,0,12,0,12,115,93,0,12,115,93,39,41,25,34,14,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US24510270701,24510270701,"Census Tract 2707.01, Baltimore city, Maryland",2654,318,2531,307,59,52,2450,313,0,12,0,12,0,12,0,12,22,26,8,13,14,23,123,125,59,89,17,20,0,12,0,12,0,12,47,87,0,12,0,12,0,12
1400000US24510270702,24510270702,"Census Tract 2707.02, Baltimore city, Maryland",1962,244,1930,242,565,65,1291,239,0,12,0,12,0,12,0,12,74,62,0,12,74,62,32,28,14,21,9,15,0,12,4,7,0,12,0,12,5,8,5,8,0,12
1400000US24510270703,24510270703,"Census Tract 2707.03, Baltimore city, Maryland",2646,342,2526,349,1521,255,946,227,0,12,54,60,0,12,0,12,5,8,0,12,5,8,120,86,59,67,0,12,0,12,0,12,0,12,30,38,31,50,31,50,0,12
1400000US24510270801,24510270801,"Census Tract 2708.01, Baltimore city, Maryland",4184,499,4132,498,525,123,3325,502,0,12,35,54,0,12,166,174,81,58,0,12,81,58,52,60,0,12,16,27,0,12,0,12,0,12,8,12,28,41,28,41,0,12
1400000US24510270802,24510270802,"Census Tract 2708.02, Baltimore city, Maryland",5738,573,5491,616,244,112,5212,590,0,17,33,54,0,17,2,4,0,17,0,17,0,17,247,205,0,17,26,45,0,17,0,17,0,17,221,203,0,17,0,17,0,17
