GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:
5001500US2401,2401,"Congressional District 1 (115th Congress), Maryland",729888,1932,602025,1943,88085,1409,1370,240,15474,694,320,148,6396,886,16218,1201
5001500US2402,2402,"Congressional District 2 (115th Congress), Maryland",757951,5432,414974,3840,258382,4157,2158,369,41390,1881,287,121,13730,1538,27030,1989
5001500US2403,2403,"Congressional District 3 (115th Congress), Maryland",752897,5658,480698,3921,165774,3589,1683,411,54576,1876,574,162,22921,2312,26671,1969
5001500US2404,2404,"Congressional District 4 (115th Congress), Maryland",747699,3752,234565,3159,392794,2847,2025,552,22640,1121,181,88,76468,2926,19026,1655
5001500US2405,2405,"Congressional District 5 (115th Congress), Maryland",759228,3226,379235,2951,291201,2923,2896,498,32205,1095,391,112,24601,2243,28699,1764
5001500US2406,2406,"Congressional District 6 (115th Congress), Maryland",762155,2804,515143,3629,103035,2418,2147,445,84544,1722,410,139,27635,2272,29241,1902
5001500US2407,2407,"Congressional District 7 (115th Congress), Maryland",726536,4374,258750,2958,389958,3631,2038,480,51849,1596,313,88,6514,900,17114,1198
5001500US2408,2408,"Congressional District 8 (115th Congress), Maryland",759725,3047,509822,3819,93027,2552,1964,361,70387,1683,354,190,58569,2991,25602,1372
